Hour,Speed_at_2m,Speed_at_10m,Speed_at_50m,Speed_at_100m
0,3.255744358,4.505530357,6.235073018,7.171468932
1,3.16293047,4.380023003,6.065451544,6.978387713
2,2.912983155,4.094023705,5.753905602,6.662267396
3,2.464451671,3.551876545,5.119121279,5.991836623
4,2.136368618,3.128332138,4.580886409,5.398652232
5,1.961270474,2.916387796,4.336636835,5.144722766
6,1.945371098,2.893264294,4.303023872,5.105240584
7,2.161295192,3.122951984,4.512492847,5.287625637
8,2.242918344,3.226251364,4.640694071,5.427254594
9,2.322519145,3.207829475,4.430607155,5.091743066
10,3.202822513,3.919110298,4.795590597,5.231098374
11,3.472447381,4.128349781,4.908144039,5.287844632
12,3.694124934,4.326644421,5.067465848,5.424407506
13,4.291119954,5.017710209,5.867329744,6.27622456
14,4.658904793,5.45673275,6.391187119,6.841431496
15,4.91217754,5.741558075,6.710972651,7.177385345
16,4.946054643,5.804830074,6.812713289,7.299032747
17,4.968616152,5.868781567,6.932030172,7.447383914
18,4.926700049,5.883984566,7.027274652,7.585753462
19,4.473595838,5.399046421,6.515944513,7.065559551
20,4.115597965,5.037919045,6.166935768,6.728072809
21,3.394792865,4.425236702,5.768457944,6.466073024
22,3.068764944,4.0361619,5.308520913,5.973462982
23,3.20916946,4.328371525,5.83789678,6.64071783
24,3.408881884,4.689952374,6.452453918,7.402832775
25,3.258555578,4.544115067,6.336851174,7.31263033
26,2.787035832,3.958529472,5.622444966,6.539681339
27,2.291567093,3.349450827,4.895698177,5.765112712
28,2.133684726,3.096863747,4.494837007,5.277082755
29,1.916354405,2.874001265,4.310206529,5.132180782
30,1.86352536,2.764878988,4.10220112,4.861938083
31,1.701231143,2.5993433,3.971585883,4.767071318
32,1.722586436,2.652256727,4.083664888,4.917832775
33,2.338460994,3.094301701,4.094446322,4.619335006
34,3.570534097,4.278906345,5.127815339,5.543491433
35,3.577586991,4.228018284,4.996702708,5.369423436
36,3.411495356,3.980689049,4.644850323,4.964012359
37,3.626537402,4.193823338,4.849847731,5.163111857
38,4.017950851,4.652780056,5.387911164,5.739286792
39,4.232294472,4.913631916,5.704654712,6.083432888
40,4.713742181,5.508486271,6.437225422,6.884003302
41,4.984490504,5.90957737,7.006353941,7.539359011
42,4.858915599,5.82063961,6.972717427,7.536689296
43,4.840671976,5.872014999,7.12309372,7.740953438
44,4.392788212,5.399151325,6.636066577,7.252587798
45,3.422781741,4.416640759,5.699082519,6.360428617
46,3.255639267,4.177568436,5.360568725,5.968259085
47,2.860872158,3.789432049,5.019376771,5.66532628
48,2.485606798,3.457241058,4.80869128,5.542958865
49,2.481192839,3.460069656,4.825131621,5.568129598
50,2.286971307,3.316508055,4.809516255,5.644446404
51,2.326531678,3.358416796,4.847973264,5.678336097
52,2.375360003,3.386977196,4.829421439,5.626715671
53,2.281444517,3.282310963,4.722256086,5.523106654
54,2.03600054,3.027626038,4.502218562,5.341246594
55,1.974164681,2.921568871,4.323633559,5.118752536
56,2.193149021,3.128169537,4.461823868,5.199149226
57,2.40729448,3.207535267,4.273794741,4.836087419
58,3.309137325,3.964327812,4.749242312,5.133492813
59,3.635433852,4.281597614,5.042610834,5.410717394
60,3.634594046,4.229357719,4.921448308,5.253387261
61,3.72719232,4.311674118,4.987811764,5.310757014
62,3.945503313,4.557380676,5.264149332,5.601368006
63,4.126154666,4.765052319,5.502877482,5.854862183
64,4.411675526,5.09289217,5.879296993,6.254358692
65,4.781871943,5.569251537,6.486280489,6.926375559
66,5.279697656,6.300644398,7.519013855,8.113840615
67,5.001216451,6.015983582,7.236651084,7.835942504
68,4.698085416,5.790285587,7.136397961,7.808641426
69,4.245710026,5.38270092,6.824175231,7.558425819
70,3.638105877,4.686727047,6.037595154,6.733424064
71,3.484717011,4.668813229,6.255261732,7.095094742
72,3.482229621,4.687703133,6.310485825,7.172396664
73,3.238737272,4.4426651,6.094126054,6.982798039
74,3.082885774,4.229405403,5.802313602,6.648788426
75,2.373871596,3.415323019,4.913674076,5.747014417
76,2.061806721,3.009524345,4.392864129,5.169950162
77,1.808592393,2.731182814,4.124400606,4.925567594
78,1.602483943,2.499384403,3.898274564,4.720738622
79,1.531365549,2.419405937,3.822421819,4.654615806
80,1.851090239,2.70298028,3.946918546,4.645879844
81,2.244177249,3.026171207,4.080654583,4.641381878
82,3.079717188,3.669954538,4.373312708,4.716354993
83,3.482281401,4.089134693,4.801743631,5.145720803
84,3.903458782,4.576399326,5.365352106,5.745752524
85,4.341573459,5.105873585,6.004722783,6.43905977
86,5.04211673,5.938711166,6.994738958,7.505570402
87,5.206216637,6.123196602,7.201685839,7.722855447
88,5.22225577,6.126973629,7.188427282,7.700476751
89,5.152700162,6.187963486,7.431228462,8.040905216
90,5.829477992,7.065804482,8.564333382,9.303981044
91,5.421231287,6.611964226,8.064232756,8.784183427
92,4.791437333,5.925490856,7.327955986,8.030016432
93,4.291538556,5.496846676,7.040673872,7.832713084
94,4.216875784,5.468206406,7.090861297,7.930537112
95,3.361573052,4.440859318,5.866667532,6.614100782
96,2.61563019,3.534753084,4.776852407,5.438346608
97,2.594817196,3.575329542,4.926351403,5.655611565
98,2.837847999,3.90790081,5.381432955,6.17649846
99,2.891610467,4.01392889,5.571851852,6.417129059
100,2.840075761,3.924201727,5.422164932,6.232308298
101,2.384770294,3.358774662,4.730588626,5.482410696
102,2.308554647,3.314609766,4.759098043,5.561354761
103,2.372819813,3.462106466,5.051450228,5.944011191
104,2.442206398,3.580953598,5.250673604,6.191565884
105,2.692491382,3.813927412,5.402447117,6.276486741
106,3.352596383,4.087852478,4.984357189,5.428707139
107,3.760536764,4.46243906,5.295351067,5.700378573
108,3.890840114,4.575007916,5.379480218,5.768165991
109,3.800559724,4.445625782,5.200178402,5.563409188
110,3.633303012,4.236934185,4.940851679,5.278973961
111,3.635960299,4.238307476,4.940441805,5.277610798
112,3.781384445,4.398872376,5.117194101,5.461642399
113,4.097256587,4.760072231,5.530111958,5.899018324
114,4.401724063,5.161980629,6.053547117,6.483506788
115,5.01726038,6.02839613,7.243307531,7.839294521
116,5.13478556,6.318830013,7.775906563,8.502784579
117,4.620751781,5.879106522,7.480145035,8.297709422
118,3.838495109,4.999324322,6.51120894,7.295950935
119,3.386719787,4.704022408,6.533704647,7.526841778
120,3.456374479,4.781620979,6.614994796,7.607382355
121,3.155384536,4.437155247,6.239602957,7.226360505
122,2.854236468,4.110630989,5.920072606,6.927143512
123,2.628363462,3.843434095,5.620221807,6.619569378
124,2.368776573,3.523457289,5.240997148,6.218446533
125,2.155804923,3.269104481,4.957333565,5.930929941
126,2.130050739,3.240750551,4.930616883,5.907374399
127,2.239046786,3.378010988,5.096346494,6.083827221
128,2.332435055,3.469032288,5.159494145,6.121463129
129,2.481670126,3.516919375,4.984031422,5.791527322
130,3.39320006,4.096112728,4.944636091,5.362255437
131,3.855916561,4.585496426,5.453120454,5.875668191
132,4.194774115,4.943356991,5.82552902,6.25242337
133,4.534180975,5.338096619,6.284547456,6.742231014
134,4.266084129,5.017705441,5.901751378,6.328971825
135,4.068992986,4.773178101,5.599230389,5.997677881
136,4.322825461,5.059301376,5.921250036,6.336339668
137,4.678238237,5.507465839,6.483675785,6.955736358
138,4.717803576,5.618583202,6.691350476,7.214338454
139,4.15805447,5.023053169,6.067997263,6.582551641
140,3.82816247,4.753639221,5.902854443,6.479792713
141,3.257846057,4.200192452,5.415116712,6.041267739
142,2.724580867,3.851991653,5.445916425,6.321767796
143,2.576202181,3.692929268,5.29373303,6.181814841
144,2.993611961,4.195514679,5.879968296,6.799981778
145,3.292610311,4.639808655,6.538224181,7.579023859
146,3.344312896,4.70558691,6.620955891,7.669958215
147,3.246598532,4.552945614,6.384932894,7.385963637
148,2.936037088,4.190505505,5.980965451,6.971286364
149,2.592955837,3.778562069,5.506276315,6.475706536
